,Owner,Team,League,Recipient,Amount,Election Year,Party
138,Carole Moreno,Los Angeles Angels of Anaheim,MLB,MCSALLY FOR SENATE INC.,5400,2018,Republican
139,Carole Moreno,Los Angeles Angels of Anaheim,MLB,TRUMP VICTORY,5400,2018,Republican
140,Carole Moreno,Los Angeles Angels of Anaheim,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,5000,2016,Bipartisan
141,Carole Moreno,Los Angeles Angels of Anaheim,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,5000,2020,Bipartisan
142,Cathy Engelbert,Commissioner,WNBA,DELOITTE POLITICAL ACTION COMMITTEE,3750,2020,Bipartisan
143,Charles Johnson,San Francisco Giants,MLB,CONGRESSIONAL LEADERSHIP FUND,1850000,2018,Republican
144,Charles Johnson,San Francisco Giants,MLB,RIGHT TO RISE USA,1500000,2016,Republican
145,Charles Johnson,San Francisco Giants,MLB,SENATE LEADERSHIP FUND,1300000,2018,Republican
146,Charles Johnson,San Francisco Giants,MLB,SENATE LEADERSHIP FUND,1000000,2020,Republican
147,Charles Johnson,San Francisco Giants,MLB,TAKE BACK THE HOUSE 2020,750000,2020,Republican
148,Charles Johnson,San Francisco Giants,MLB,CONGRESSIONAL LEADERSHIP FUND,500000,2020,Republican
149,Charles Johnson,San Francisco Giants,MLB,TEAM RYAN,472700,2018,Republican
150,Charles Johnson,San Francisco Giants,MLB,TRUMP VICTORY,435200,2020,Republican
151,Charles Johnson,San Francisco Giants,MLB,CONGRESSIONAL LEADERSHIP FUND,300000,2016,Republican
152,Charles Johnson,San Francisco Giants,MLB,REPUBLICAN NATIONAL COMMITTEE,282400,2016,Republican
153,Charles Johnson,San Francisco Giants,MLB,TEAM RYAN,244200,2016,Republican
154,Charles Johnson,San Francisco Giants,MLB,CORNYN MAJORITY COMMITTEE,150000,2018,Republican
155,Charles Johnson,San Francisco Giants,MLB,FIGHTING FOR OHIO FUND,100000,2016,Republican
156,Charles Johnson,San Francisco Giants,MLB,GREAT AMERICA PAC,100000,2016,Republican
157,Charles Johnson,San Francisco Giants,MLB,NRSC TARGETED STATE VICTORY COMMITTEE,100000,2016,Republican
158,Charles Johnson,San Francisco Giants,MLB,TRUMP VICTORY,100000,2016,Republican
159,Charles Johnson,San Francisco Giants,MLB,NEW REPUBLICAN PAC,100000,2018,Republican
160,Charles Johnson,San Francisco Giants,MLB,TRUMP VICTORY,100000,2018,Republican
161,Charles Johnson,San Francisco Giants,MLB,1820 PAC,100000,2020,Republican
162,Charles Johnson,San Francisco Giants,MLB,MCCONNELL VICTORY COMMITTEE,81600,2020,Republican
163,Charles Johnson,San Francisco Giants,MLB,SENATE LEADERSHIP FUND,75000,2016,Republican
164,Charles Johnson,San Francisco Giants,MLB,INTEGRITY NJ,75000,2018,Republican
165,Charles Johnson,San Francisco Giants,MLB,FIGHTING FOR FLORIDA FUND,50000,2016,Republican
166,Charles Johnson,San Francisco Giants,MLB,VICTORY 2016,50000,2016,Republican
167,Charles Johnson,San Francisco Giants,MLB,RESTORATION PAC,50000,2018,Republican
168,Charles Johnson,San Francisco Giants,MLB,MOONEY VICTORY FUND,35600,2020,Republican
169,Charles Johnson,San Francisco Giants,MLB,NRSC,35000,2018,Republican
170,Charles Johnson,San Francisco Giants,MLB,THE 2016 COMMITTEE,30000,2016,Republican
171,Charles Johnson,San Francisco Giants,MLB,MOONEY VICTORY FUND,30000,2018,Republican
172,Charles Johnson,San Francisco Giants,MLB,RESTORATION PAC,25000,2016,Republican
173,Charles Johnson,San Francisco Giants,MLB,"WE THE PEOPLE, NOT WASHINGTON",25000,2016,Republican
174,Charles Johnson,San Francisco Giants,MLB,FLORIDA VOTES COUNT,25000,2018,Republican
175,Charles Johnson,San Francisco Giants,MLB,STARS AND STRIPES FOREVER PAC,25000,2018,Republican
176,Charles Johnson,San Francisco Giants,MLB,TEXANS FOR A CONSERVATIVE MAJORITY,25000,2020,Republican
177,Charles Johnson,San Francisco Giants,MLB,MOONEY VICTORY FUND,17800,2016,Republican
178,Charles Johnson,San Francisco Giants,MLB,RENACCI FOR OHIO VICTORY FUND,15000,2018,Republican
179,Charles Johnson,San Francisco Giants,MLB,BURR NC VICTORY FUND,12700,2016,Republican
180,Charles Johnson,San Francisco Giants,MLB,STEIL VICTORY FUND,12700,2018,Republican
181,Charles Johnson,San Francisco Giants,MLB,MIMI WALTERS VICTORY FUND,10800,2018,Republican
182,Charles Johnson,San Francisco Giants,MLB,GRASSLEY HAWKEYE FUND,10400,2016,Republican
183,Charles Johnson,San Francisco Giants,MLB,TOOMEY PENNSYLVANIA VICTORY FUND,10000,2016,Republican
184,Charles Johnson,San Francisco Giants,MLB,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE,10000,2016,"Bipartisan, but mostly Republican"
185,Charles Johnson,San Francisco Giants,MLB,MISSOURI RISING ACTION,10000,2018,Republican
186,Charles Johnson,San Francisco Giants,MLB,PROTECT THE HOUSE,10000,2018,Republican
187,Charles Johnson,San Francisco Giants,MLB,TRUE NORTH PAC,10000,2018,Republican
188,Charles Johnson,San Francisco Giants,MLB,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE,10000,2018,"Bipartisan, but mostly Republican"
189,Charles Johnson,San Francisco Giants,MLB,SCALISE LEADERSHIP FUND,10000,2020,Republican
190,Charles Johnson,San Francisco Giants,MLB,SENATE CONSERVATIVES ACTION,10000,2020,Republican
191,Charles Johnson,San Francisco Giants,MLB,UTAH REPUBLICAN PARTY,10000,2020,Republican
192,Charles Johnson,San Francisco Giants,MLB,VIGOP (VIRGIN ISLANDS REPUBLICAN PARTY),10000,2020,Republican
193,Charles Johnson,San Francisco Giants,MLB,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE (ICI PAC),10000,2020,"Bipartisan, but mostly Republican"
194,Charles Johnson,San Francisco Giants,MLB,CORNYN MAJORITY COMMITTEE,7500,2020,Republican
195,Charles Johnson,San Francisco Giants,MLB,ALEX MOONEY FOR CONGRESS,5600,2020,Republican
196,Charles Johnson,San Francisco Giants,MLB,AMANDA MAKKI FOR CONGRESS,5600,2020,Republican
197,Charles Johnson,San Francisco Giants,MLB,"ANDY BARR FOR CONGRESS, INC.",5600,2020,Republican
