Owner,Team,League,Recipient,Amount,Election Year,Party,Female
Janice S. McNair,Houston Texans,NFL,SCOTT WALKER INC,2700,2016,Republican,1
Jeffrey Lurie,Philadelphia Eagles,NFL,GRIDIRON-PAC,10000,2016,Bipartisan,0
Jeffrey Lurie,Philadelphia Eagles,NFL,GRIDIRON-PAC,10000,2018,Bipartisan,0
Jeffrey Lurie,Philadelphia Eagles,NFL,GRIDIRON-PAC,5000,2020,Bipartisan,0
Jeffrey Lurie,Philadelphia Eagles,NFL,HILLARY FOR AMERICA,2700,2016,Democrat,0
Jerry Jones,Dallas Cowboys,NFL,AMERICA LEADS,200000,2016,Republican,0
Jerry Jones,Dallas Cowboys,NFL,GRIDIRON-PAC,10000,2016,Bipartisan,0
Jerry Jones,Dallas Cowboys,NFL,GRIDIRON-PAC,10000,2018,Bipartisan,0
Jerry Jones,Dallas Cowboys,NFL,COLIN ALLRED FOR CONGRESS,5000,2018,Democrat,0
Jerry Jones,Dallas Cowboys,NFL,GRIDIRON-PAC,4650,2020,Bipartisan,0
Jerry Jones,Dallas Cowboys,NFL,"CHRIS CHRISTIE FOR PRESIDENT, INC.",2700,2016,Republican,0
Jerry Jones,Dallas Cowboys,NFL,KAY GRANGER CAMPAIGN FUND,2700,2016,Republican,0
Jerry Jones,Dallas Cowboys,NFL,PORTMAN FOR SENATE COMMITTEE,2700,2016,Republican,0
Jerry Jones,Dallas Cowboys,NFL,THE CONGRESSMAN JOE BARTON COMMITTEE,2700,2016,Republican,0
Jerry Jones,Dallas Cowboys,NFL,LANCE GOODEN FOR CONGRESS COMMITTEE,2700,2018,Republican,0
Jerry Jones,Dallas Cowboys,NFL,COLE FOR CONGRESS,500,2018,Republican,0
Jimmy and Susan Haslam,Cleveland Browns,NFL,SENATE LEADERSHIP FUND,200000,2020,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,TEAM RYAN,150000,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,NRSC,141000,2020,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,BOEHNER FOR SPEAKER,100000,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,TAKE BACK THE HOUSE 2020,100000,2020,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,NRCC,76800,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,RIGHT TO RISE USA,55000,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,TEAM RYAN,50000,2018,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,SCALISE LEADERSHIP FUND,50000,2020,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,ERNST VICTORY IOWA,40000,2018,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,TENNESSEE REPUBLICAN PARTY FEDERAL ELECTION ACCOUNT,30000,2016,Republican,1
Jimmy and Susan Haslam,Cleveland Browns,NFL,YOUNG VICTORY COMMITTEE,30000,2016,Republican,1
